model,category,dev_accuracy,dev_macro_f1,test_accuracy,test_macro_f1
A2 CNN (seq64),baseline,0.90975,0.9096010310447323,0.9099,0.9096
A3 LSTM (updated_full),neural,0.9103333333333333,0.9105861356744716,0.9098684210526315,0.9100324227685002
A3 DistilBERT (fine-tuned),transformer,0.945,0.9450109705490577,0.9485526315789473,0.9486058398926079
