run_label,model,seq_len,best_dev_f1,bidirectional,dropout,embed_dim,hidden_dim,kernel_sizes,lr,num_filters,weight_decay
CNN-seq64,cnn,64,0.9096010310447323,,,512,,"[3, 5, 7]",0.001,300,1e-05
CNN-seq128,cnn,128,0.910104660783416,,,512,,"[3, 5, 7]",0.001,300,1e-05
CNN-seq256,cnn,256,0.9108509730139039,,,512,,"[3, 5, 7]",0.001,300,1e-05
LSTM-seq64,lstm,64,0.9085760412851477,True,0.5,256,512,,0.001,,0.0
LSTM-seq128,lstm,128,0.9089539593586446,True,0.5,256,512,,0.001,,0.0
LSTM-seq256,lstm,256,0.9076027959635471,True,0.5,256,512,,0.001,,0.0
