run_label,model,seq_len,epoch,train_loss,train_acc,val_loss,val_acc
LSTM-seq256,lstm,256,2,0.2929,0.9003,0.3013,0.8985
LSTM-seq256,lstm,256,3,0.2327,0.9219,0.2767,0.9083
LSTM-seq256,lstm,256,4,0.1903,0.9372,0.293,0.906
LSTM-seq256,lstm,256,5,0.1623,0.9466,0.282,0.9085
LSTM-seq256,lstm,256,6,0.1334,0.9572,0.3022,0.9051
LSTM-seq256,lstm,256,7,0.1117,0.965,0.33,0.9066
LSTM-seq256,lstm,256,8,0.0913,0.9715,0.3471,0.9088
LSTM-seq256,lstm,256,9,0.0755,0.9761,0.388,0.9027
LSTM-seq256,lstm,256,10,0.0701,0.9775,0.3917,0.9033
LSTM-seq256,lstm,256,11,0.0584,0.9814,0.4089,0.9036
LSTM-seq256,lstm,256,12,0.0455,0.986,0.4384,0.9036
LSTM-seq256,lstm,256,13,0.0397,0.9876,0.4583,0.903
LSTM-seq256,lstm,256,14,0.0399,0.9871,0.4557,0.907
LSTM-seq256,lstm,256,15,0.0344,0.9886,0.4992,0.9053
