run_label,model,seq_len,best_dev_f1,test_accuracy,macro_f1,weighted_f1
CNN-seq64,cnn,64,0.9096010310447323,0.9099,0.9096,0.9096
CNN-seq128,cnn,128,0.910104660783416,0.9071,0.9069,0.9069
CNN-seq256,cnn,256,0.9108509730139039,0.9075,0.9072,0.9072
LSTM-seq64,lstm,64,0.9085760412851477,0.9034,0.9032,0.9032
LSTM-seq128,lstm,128,0.9089539593586446,0.9057,0.9059,0.9059
LSTM-seq256,lstm,256,0.9076027959635471,0.9074,0.9074,0.9074
